"cnpj","endereco","numero","complemento","bairro","cd_municipio","uf","cep"
"12404652000170","MARANHAO (Q 92,93,94,165,167,169,171 E 200) 02","02","CASA","SETOR TRADICIONAL","9701","DF","73330053"
"12426421000168","QNO 4 CONJUNTO M 51","51","","CEILANDIA NORTE","9701","DF","72250413"
"12429071000193","QNN 1 CONJUNTO F LOJA03","LOJA03","LOTE 04","CEILANDIA NORTE","9701","DF","72225016"
"12435586000104","QI 12 BLOCO B 11","11","LOJA 01","GUARA I","9701","DF","71010629"
"12448043000113","SHCES 913 BLOCO J LOJA 68 SN","SN","","CRUZEIRO NOVO","9701","DF","70655020"
"33415380000184","QNF 14 SN","SN","LOTE 02","TAGUATINGA NORTE (TAGUATINGA)","9701","DF","72125640"
"12470552000142","HABITACIONAL SOL NASCENTE LT 45","LT 45","COND 02;CONJ H;LOTE 45","CEILANDIA SUL","9701","DF","72236800"
"12480040000167","ESTANCIA MESTRE D'ARMAS I MOD Q","MOD Q","LOTE 1;LOJA 1","SETOR RESIDENCIAL MESTRE D'ARMAS","9701","DF","73380100"
"12477603000168","51 231","231","LOTE","VILA NOVA","9701","DF","71693154"
"12502623000141","QUADRA 13 CONJUNTO D 01","01","CASA 01","SETOR SUL (GAMA)","9701","DF","72410704"
"12503463000155","MODULO D 11","11","CASA 11B","ESTANCIA MESTRE D'ARMAS I","9701","DF","73401089"
"12516114000178","VARJAO DO TORTO SN","SN","QUADRA 08 CONJUNTO A CASA 05","SETOR DE HABITACOES INDIVIDUAIS NORTE","9701","DF","71540400"
"12529985000126","68 20","20","LOTE 20","CENTRO","9701","DF","71691038"
"65890193000149","QNN 17 CONJUNTO F 34","34","CASA","CEILANDIA NORTE","9701","DF","72225176"
"12568862000102","QUADRA 19 37","37","SALA 02 ;SLJ","SETOR LESTE","9701","DF","72460190"
"12567056000101","QUADRA 21 33","33","APT 02","SETOR OESTE","9701","DF","72420210"
"33416802000136","CLS 315 BLOCO C 11","11","SLJ","ASA SUL","9701","DF","70384530"
